업체명,연락처,업종,업태,행정동,도로명 주소,위도,경도,데이터 기준일자
기계반점,,음식,중식,기계면,"경상북도 포항시 북구 기계면 자조길 15,1층",36.070903,129.2115784,2019-08-07
산들다방,054-243-5154,음숙,다방,기계면,경상북도 포항시 북구 기계면 자조길 3-2,36.0699563,129.2115682,2019-08-07
포항승마공원,054-247-2372,서비스,승마장업,기계면,경상북도 포항시 북구 기계면 기남길149번길 52-65,36.0737898,129.1745047,2019-08-07
농업회사법인주식회사봉좌마을,054-243-2372,도소매,농산물,기계면,경상북도 포항시 북구 기계면 봉계길 46,36.0777955,129.1700704,2019-08-07
능금다방,054-255-3721,음식,커피,기계면,경상북도 포항시 북구 기계면 기계로 88-1,36.0701739,129.2069362,2019-08-07
대우다방,,음식점,다방,기계면,경상북도 포항시 북구 기계면 기계로 78,36.0701896,129.2081002,2019-08-07
배다방,054-241-6799,음식점,다방,기계면,경상북도 포항시 북구 기계면 기계로 84,36.0701165,129.2074085,2019-08-07
"맥시칸통닭,피자",054-242-2636,음숙,"치킨,피자",기계면,경상북도 포항시 북구 기계면 자조길 3 (1층),36.0698418,129.2115698,2019-08-07
서포항농업협동조합,054-243-2010,금융업,농업협동조합,기계면,경상북도 포항시 북구 기계면 기계로 102,36.070657,129.2054887,2019-08-07
삼풍목욕탕,054-243-1048,서비스,목욕,기계면,경상북도 포항시 북구 기계면 기계로 103,36.0702885,129.2052924,2019-08-07
예천식당,054-243-2370,음식점,일반한식,기계면,경상북도 포항시 북구 기계면 기계로 83,36.0699487,129.2075621,2019-08-07
형제 이용,054-243-1969,서비스,서비스,기계면,경상북도 포항시 북구 기계면 기계로 88-1,36.0701739,129.2069362,2019-08-07
옥다방,054-243-1355,음식점,다방,기계면,"경상북도 포항시 북구 기계면 기계로 92, 1층",36.0702225,129.2066798,2019-08-07
엘지전자기계대리점,054-243-1208,도소매,전자,기계면,경상북도 포항시 북구 기계면 기계로 68,36.07033,129.2092528,2019-08-07
다니엘 학원,054-242-1007,서비스,서비스,기계면,"경상북도 포항시 북구 기계면 기계로 92-8, 201동 201호(삼오빌라)",36.0706866,129.2067619,2019-08-07
귀빈다방,054-243-2358,음식점,다방,기계면,경상북도 포항시 북구 기계면 기계로 93,36.0700873,129.2062864,2019-08-07
명다방,054-242-0891,음숙,다방,기계면,경상북도 포항시 북구 기계면 기계로 81-1,36.0698167,129.2076612,2019-08-07
향다방,054-232-7715,음식점,다방,기계면,경상북도 포항시 북구 기계면 기계로 79-1,36.0700062,129.2078227,2019-08-07
말순이 다방,054-243-3459,음숙,음숙,기계면,경상북도 포항시 북구 기계면 기계로 66,36.0703374,129.2095455,2019-08-07
기계약국,054-243-1014,소매업,양약,기계면,경상북도 포항시 북구 기계면 기계로 52,36.0699788,129.2107904,2019-08-07
돼지다방,,음식,커피,기계면,경상북도 포항시 북구 기계면 기계로 48-1,36.0697646,129.2112554,2019-08-07
은초다방,054-243-1338,음식업,다방,기계면,경상북도 포항시 북구 기계면 기계로 49-1,36.0696156,129.2109152,2019-08-07
유림당구장,054-243-2123,서비스,당구장,기계면,경상북도 포항시 북구 기계면 근면길13,36.0715142,129.2101314,2019-08-07
태산주유소,054-243-1583,도소매,주유소,기계면,경상북도 포항시 북구 기계면 기계로 459,36.0877241,129.1737296,2019-08-07
창신 기사식당,,음식점,음식점,기계면,경상북도 포항시 북구 기계면 기계로 596,36.0900485,129.1589431,2019-08-07
기북상회,054-244-1511,소매,슈퍼,기계면,경상북도 포항시 북구 기계면 새마을로 2172,36.0916073,129.1568875,2019-08-07
다슬기수라상,054-246-4242,일반음식,한식,기계면,경상북도 포항시 북구 기계면 새마을로2450번길 3,36.1087119,129.1359459,2019-08-07
청화대,054-251-1236,음식업,한식,기계면,경상북도 포항시 북구 기계면 기계로 69,36.0701383,129.2090391,2019-08-07
춘천막국수보쌈식당,054-246-7654,음식,분식,기계면,경상북도 포항시 북구 기계면 기계로 93번길 4,36.0699624,129.2061806,2019-08-07
한우포도청,054-243-1199,음숙,한식,기계면,경상북도 포항시 북구 기계면 근면길 22,36.0719795,129.2094669,2019-08-07
페리카나치킨(기계점),054-243-1820,음식점업, 치킨,기계면,경상북도 포항시 북구 기계면 기계로 63-1,36.0700688,129.2095257,2019-08-07
향미식당,,음식점업,한식음식점업,기계면,경상북도 포항시 북구 기계면 기계로 81,36.0699342,129.2077479,2019-08-07
(주)기계주유소,,도매및소매업,차량용주유소운영업,기계면,경상북도 포항시 북구 기계면 새마을로 1406,36.0626843,129.2293753,2019-08-07
유천주유소,054-244-5229,도소매,주유소,기계면,경상북도 포항시 북구 기계면 새마을로 2172,36.0916073,129.1568875,2019-08-07
서포항농업협동조합 주유소,054-243-7171,도매및소매업,주유소,기계면,경상북도 포항시 북구 기계면 기계로57번길22,36.0683125,129.2101338,2019-08-07
음식과 소주은행,054-249-2600,음숙,음숙,기계면,경상북도 포항시 북구 기계면 기계로93번길 6,36.0698577,129.2061971,2019-08-07
정다운,054-231-5535,음식점업,한식음식점업,기계면,경상북도 포항시 북구 기계면 기동지길 33-50,36.0721554,129.2117246,2019-08-07
태산통신,,도매및소매업,통신기기소매업,기계면,"경상북도 포항시 북구 기계면 기계로56번길 19, 3호",36.0714519,129.2103703,2019-08-07
기계수치과,054-251-3350,보건,치과,기계면,경상북도 포항시 북구 기계면 기계로56번길 14,36.0710181,129.21061,2019-08-07
TS PC죤,,서비스,서비스,기계면,경상북도 포항시 북구 기계면 기계로56번길 19,36.0714519,129.2103703,2019-08-07
미소분식,,음식,분식,기계면,경상북도 포항시 북구 기계면 기계로57번길 4,36.0697402,129.2098961,2019-08-07
앵콜노래연습장,,서비스업,노래연습장운영업,기계면,경상북도 포항시 북구 기계면 기계로 80,36.070245,129.207735,2019-08-07
아리랑 식당,054-245-0233,음식점업,음식점업,기계면,경상북도 포항시 북구 기계면 기계로 80-2,36.0704994,129.2079741,2019-08-07
원흥상회,054-243-1044,제조업 소매,곡물도정 전자상거래(쌀),기계면,경상북도 포항시 북구 기계면 기계로 79-1,36.0700062,129.2078227,2019-08-07
기계동물병원,054-248-1858,보건,동물,기계면,경상북도 포항시 북구 기계면 기계로 92-8,36.0706866,129.2067619,2019-08-07
금성철물,054-246-7879,도소매,철물,기계면,경상북도 포항시 북구 기계면 기계로 107,36.07033,129.2049409,2019-08-07
하나식육점,054-251-3969,도매 소매,식육,기계면,경상북도 포항시 북구 기계면 기계로57번길 6,36.0692423,129.209723,2019-08-07
미르정육점,,도소매,식육판매업,기계면,경상북도 포항시 북구 기계면 협동길 8,36.071055,129.2087724,2019-08-07
대성떡방앗간,054-243-1062,제조,떡,기계면,경상북도 포항시 북구 기계면 기계로57번길 5-6,36.0694984,129.2104291,2019-08-07
영성국수떡공장,054-243-1055,제조,떡,기계면,경상북도 포항시 북구 기계면 기계로 49,36.0696042,129.2110026,2019-08-07
제일떡방앗간,054-243-8338,제조,떡,기계면,경상북도 포항시 북구 기계면 기계로 104-6,36.0709283,129.2055899,2019-08-07
현대가스,,소매,L.P.G,기계면,경상북도 포항시 북구 기계면 학야길 28-3,36.0652624,129.208537,2019-08-07
덕포전통한과,054-242-1317,"제조업,도소매",한과 전자상거래업,기계면,경상북도 포항시 북구 기계면 고지길 20,36.0731565,129.1889904,2019-08-07
성림버섯농장,,도소매업,농산물 전자상거래업,기계면,경상북도 포항시 북구 기계면 기남길 148,36.0776143,129.1814497,2019-08-07
가산식품제조장,054-243-1470,제조,식품,기계면,경상북도 포항시 북구 기계면 기계로 349-1,36.0834462,129.1839942,2019-08-07
서한식품㈜,054-232-5211,도소매,식료품,기계면,경상북도 포항시 북구 기계면 기계로 349-10,36.0835125,129.1833483,2019-08-07
윤숙정미소,,제조,도정,기계면,경상북도 포항시 북구 기계면 봉계길 19-6,36.0785352,129.1723791,2019-08-07
해샘원,054-243-1896,제조업,식품가공업,기계면,경상북도 포항시 북구 기계면 새마을로 1525번길 147-26,36.059194,129.2252105,2019-08-07
대원농원,054-243-1421,음숙,한식,기계면,경상북도 포항시 북구 기계면 새마을로 1384,36.0619014,129.2308993,2019-08-07
천지노래연습장,,서비스,노래연습장,기계면,경상북도 포항시 북구 기계면 자조길 3,36.0698418,129.2115698,2019-08-07
기계가스,054-243-2260,소매업,LPG가스,기계면,경상북도 포항시 북구 기계면 기계로 525-4,36.0884761,129.16645,2019-08-07
울산낚시,054-242-7577,소매,낚시용품,기계면,경상북도 포항시 북구 기계면 기계로 46,36.0697237,129.2115766,2019-08-07
포항시니어클럽(로컬푸드),054-249-9279,도소매,농산물,기계면,경상북도 포항시 북구 기계면 기남길160번길 43-16,36.0810437,129.1814003,2019-08-07
서포항농협유통사업단,054-244-2010,도소매,"농산물,곡물도정",기계면,경상북도 포항시 북구 기계면 새마을로 1661,36.0688185,129.203765,2019-08-07
박선녀한과,054-244-8808,제조,한과,신광면,경상북도 포항시 북구 신광면 상읍길 30,36.1327755,129.2594641,2019-08-07
비학산식육식당,054-243-0224,도소매,식육,신광면,경상북도 포항시 북구 신광면 토성길 39,36.1285423,129.263038,2019-08-07
형제슈퍼,054-243-0982,소매,연쇄점,신광면,경상북도 포항시 북구 신광면 토성길 38-1,36.1283866,129.2627635,2019-08-07
바로커,,음숙,한식,신광면,경상북도 포항시 북구 신광면 토성길 30,36.1286801,129.2619141,2019-08-07
유화미용실,054-243-0132,서비스,미용,신광면,경상북도 포항시 북구 신광면 토성길 43,36.1284026,129.2634131,2019-08-07
솔식당,,음숙,한식,신광면,경상북도 포항시 북구 신광면 토성길 28,36.1287157,129.261667,2019-08-07
신광쌀상회,054-243-0924,소매,식잡,신광면,경상북도 포항시 북구 신광면 토성길 21,36.1286628,129.2612513,2019-08-07
경북철물,,도소매,철물,신광면,경상북도 포항시 북구 신광면 토성길 25,36.1288435,129.2614533,2019-08-07
마북철물건재,,도소매,"철물, 건재",신광면,경상북도 포항시 북구 신광면 토성길25번길 4,36.1290783,129.2614528,2019-08-07
신광상회,,소매,음식료,신광면,경상북도 포항시 북구 신광면 토성길25번길 3,36.1289384,129.2613115,2019-08-07
신광마트,054-243-0423,소매,식잡,신광면,경상북도 포항시 북구 신광면 토성길 32,36.128642,129.262049,2019-08-07
청산약국,054-242-6671,소매,양약,신광면,경상북도 포항시 북구 신광면 토성길 43,36.1284026,129.2634131,2019-08-07
골안골전통주체험장,054-244-5271,제조업,막걸리제조,신광면,경상북도 포항시 북구 신광면 비학로519번길 93,36.1030947,129.2444651,2019-08-07
신광종합농기구센타,,수리서비스,농기구수리,신광면,경상북도 포항시 북구 신광면 비학로 815,36.1261007,129.2586117,2019-08-07
신포항농협 신광지점주유소,054-243-0951,"금융,소매","여수신,주유소",신광면,경상북도 포항시 북구 신광면 비학로 803,36.124749,129.2582817,2019-08-07
정육고기마을,,음식,한식,신광면,경상북도 포항시 북구 신광면 비학로 438번길 2,36.093353,129.2528154,2019-08-07
민생어매운탕,,음식,한식,신광면,경상북도 포항시 북구 신광면 비학로 378,36.0889729,129.2519537,2019-08-07
냉수면옥,054-231-1264,음숙,한식,신광면,경상북도 포항시 북구 신광면 비학로 397,36.0906945,129.2510227,2019-08-07
촌집농장가든,,음숙,한식,신광면,경상북도 포항시 북구 신광면 비학로 427,36.0931362,129.2519058,2019-08-07
우정식당,054-241-1211,음식,한식,신광면,경상북도 포항시 북구 신광면 토성길 41,36.1285047,129.2631937,2019-08-07
아세아농업기계 신포항대리점,054-244-4424,도소매,도소매,신광면,경상북도 포항시 북구 신광면 토성길 66,36.1280725,129.265752,2019-08-07
비학산카정비,,서비스,정비,신광면,경상북도 포항시 북구 신광면 신흥로 213,36.1298186,129.2762459,2019-08-07
희망농원,054-243-7586,서비스,체험관광,신광면,경상북도 포항시 북구 신광면 사정안길58번길 30-16,36.1405894,129.2751562,2019-08-07
토성 제분소,054-243-0928,제조업,제조업,신광면,경상북도 포항시 북구 신광면 토성길 56,36.1280073,129.2646736,2019-08-07
김현수 약국,054-247-0153,소매,소매,신광면,경상북도 포항시 북구 신광면 사정길 29,36.1330358,129.2719873,2019-08-07
서울 해장국,,음식,음식,신광면,경상북도 포항시 북구 신광면 비학로1242번길 3-9,36.160274,129.2759671,2019-08-07
신광반점,054-261-8400,음식,중식,신광면,경상북도 포항시 북구 신광면 기반길 10,36.1627302,129.2763006,2019-08-07
포항 신광 온천,054-262-3232,서비스,서비스,신광면,경상북도 포항시 북구 신광면 기반길 8,36.1625472,129.276914,2019-08-07
성훈 온천 미나리 식당,054-262-2163,음숙,음숙,신광면,경상북도 포항시 북구 신광면 비학로 1272,36.1619944,129.2778947,2019-08-07
범촌 매운탕 식당,,음숙,음숙,신광면,경상북도 포항시 북구 신광면 신흥로 476,36.118245,129.2975724,2019-08-07
범촌 발효 식품,054-244-0298,도소매,도소매,신광면,경상북도 포항시 북구 신광면 신흥로 486,36.1178487,129.2979645,2019-08-07
호리민물장어 식당,,음숙,음숙,신광면,경상북도 포항시 북구 신광면 신흥로 487,36.1180897,129.2982288,2019-08-07
별난 매운탕,,음숙,음숙,신광면,경상북도 포항시 북구 신광면 신흥로 477,36.1187101,129.2979058,2019-08-07
옹달샘 미장원,,서비스,서비스,신광면,경상북도 포항시 북구 신광면 신흥로 473,36.1189616,129.2977399,2019-08-07
달토끼 찻집,054-242-8880,음숙,음숙,신광면,경상북도 포항시 북구 신광면 신흥로 473,36.1189616,129.2977399,2019-08-07
낚시터 매운탕식당,,음숙,한식,청하면,경상북도 포항시 북구 신광면 신흥로 419,36.1230666,129.2957983,2019-08-07
호수,,음식,양식,신광면,경상북도 포항시 북구 신광면 신흥로 417,36.1241515,129.2952523,2019-08-07
송화타운 식당,,음숙,한식,신광면,경상북도 포항시 북구 신광면 신흥로 401,36.1253886,129.2948179,2019-08-07
보경 비학산 마트,054-247-5989,도소매,도소매,신광면,경상북도 포항시 북구 신광면 비학로 871,36.1310064,129.2605161,2019-08-07
미금식당,054-244-0224,음식,한식,신광면,경상북도 포항시 북구 신광면 비학로 862,36.1299086,129.2600796,2019-08-07
당수골 농장가든,054-252-5458,음식,한식,환여동,경상북도 포항시 북구 신광면 비학로 380,36.0890619,129.2521398,2019-08-07
비학산 생칼국수,054-241-6866,음식,음식,환여동,경상북도 포항시 북구 청하면 비학로 1867,36.19268,129.3203494,2019-08-07
비학산주유소,054-243-6064,도소매,주유소,환여동,경상북도 포항시 북구 신광면 신흥로 221,36.1297822,129.276794,2019-08-07
포항식당,,음식,한식,환여동,경상북도 포항시 북구 신광면 토성길 36,36.1285162,129.2624108,2019-08-07
천일떡공장,,제조,떡,환여동,경상북도 포항시 북구 신광면 토성길 24,36.128608,129.2614317,2019-08-07
신포항농업협동조합 신광지점,054-243-7993,소매,소매,환여동,경상북도 포항시 북구 신광면 토성길 42,36.128262,129.2630098,2019-08-07
영포주유소,054-251-2021,도소매,주유소,환여동,경상북도 포항시 북구 새천년대로 1552(여남동),36.0805041,129.416618,2019-08-07
시골한우고기마트,054-246-0808,도소매,식육,환여동,"경상북도 포항시 북구 삼호로 413, 해맞이그린빌주상가 114(환호동)",36.0691827,129.393211,2019-08-07
월할인마트환여점,054-251-6613,도소매,슈퍼,환여동,경상북도 포항시 북구 삼호로 465(환호동),36.0700175,129.3987774,2019-08-07
공원분식,054-242-9337,음식,분식,환여동,경상북도 포항시 북구 환호공원길 19-1(환호동),36.0681032,129.3918449,2019-08-07
그린김밥천국,054-255-0488,음숙,분식,환여동,경상북도 포항시 북구 삼호로 418(환호동),36.0687942,129.3936961,2019-08-07
코코진헤어,054-242-9989,서비스,미용업,환여동,"경상북도 포항시 북구 삼호로 391, 주상가동 110(환호동,그린빌상가 )",36.0699147,129.3914206,2019-08-07
그린서점 · 문구,054-247-6151,도소매,"문구,서점",환여동,경상북도 포항시 북구 삼호로 472 환호해맞이그린 1층상가 101호(환호동),36.0700946,129.39958,2019-08-07
미즈헤어샵,,서비스,일반미용,환여동,"경상북도 포항시 북구 삼호로 413, 환호해맞이그린빌상가 106호(환호동)",36.0691827,129.393211,2019-08-07
영포식육식당,054-251-3888,음숙,한식,환여동,"경상북도 포항시 북구 삼호로 471, B동 101호(환호동,아주종합상가)",36.0702576,129.3989548,2019-08-07
제일슈퍼,054-251-7868,도소매,슈퍼,환여동,경상북도 포항시 북구 삼호로 452(환호동),36.0693987,129.397321,2019-08-07
처갓집양념통닭환호점,054-252-6588,음숙,치킨점,환여동,경상북도 포항시 북구 삼호로 468번길 6(환호동),36.0696459,129.3997601,2019-08-07
곽미용실,,서비스,미용,환여동,"경상북도 포항시 북구 삼호로 471, A동 104호(환호동,아주상가)",36.0702576,129.3989548,2019-08-07
새포항식당,054-254-3456,음숙,한식,환여동,경상북도 포항시 북구 삼호로 483(환호동),36.0710106,129.3990863,2019-08-07
신흥세탁소,054-252-9105,서비스,세탁,환여동,경상북도 포항시 북구 삼호로 485(환호동),36.0711968,129.3989488,2019-08-07
장충왕족발오목집,054-252-2281,음식점,한식,환여동,경상북도 포항시 북구 삼호로 493-1(환호동),36.0719287,129.3984685,2019-08-07
시장떡방아간,054-252-6211,제조,떡,환여동,경상북도 포항시 북구 삼호로 471(환호동),36.0702576,129.3989548,2019-08-07
백 플라워,054-231-3963,소매,소매,환여동,경상북도 포항시 북구 삼호로 482(환호동),36.0710895,129.3996134,2019-08-07
참빛,,서비스,청소,환여동,경상북도 포항시 북구 삼호로 484(환호동),36.0711999,129.3994735,2019-08-07
서광미용실,054-251-6273,서비스,미용,환여동,경상북도 포항시 북구 삼호로 487-12(환호동),36.071436,129.3984897,2019-08-07
부일정,054-251-2141,음식,한식,환여동,경상북도 포항시 북구 삼호로 487-7(환호동),36.0712616,129.398594,2019-08-07
콜마트,054-256-6300,도소매,슈퍼,환여동,"경상북도 포항시 북구 삼호로 413, A-101(환호동,해맞이그린빌주상가동)",36.0691827,129.393211,2019-08-07
조선의 옛날통닭(환호해맞이점),054-252-5592,음숙,음숙,환여동,경상북도 포항시 북구 삼호로 398(환호동),36.0683369,129.3915501,2019-08-07
피자마루 환호점,054-252-1414,음식업,음식업,환여동,"경상북도 포항시 북구 삼호로 413, 108호(환호동,해맞이그린빌주상가동)",36.0691827,129.393211,2019-08-07
해맞이사우나,054-256-3600,서비스,대중탕,환여동,"경상북도 포항시 북구 삼호로 413, A-101(환호동,해맞이그린빌주상가동)",36.0691827,129.393211,2019-08-07
웰빙세탁소,054-241-0248,서비스,세탁,환여동,"경상북도 포항시 북구 삼호로 413, 105호(환호동,해맞이그린빌주상가동)",36.0691827,129.393211,2019-08-07
그린사진관영상,054-251-1627,사업서비스,사진촬영,환여동,경상북도 포항시 북구 삼호로 461(환호동),36.0699371,129.398292,2019-08-07
은행열쇠,054-255-1309,소매,열쇠,환여동,경상북도 포항시 북구 삼호로 461-1(환호동),36.0699093,129.3984449,2019-08-07
간이역(환호점),054-231-0848,음식점,기타주점,환여동,경상북도 포항시 북구 삼호로 461-1(환호동),36.0699093,129.3984449,2019-08-07
비. 에이치. 시(B.H.C)치킨 환호장성점,054-251-5454,음숙,음숙,환여동,"경상북도 포항시 북구 환호공원길 41-3, 1층(환호동)",36.0684988,129.3938086,2019-08-07
포항청마복싱다이어트클럽,054-252-5221,교육서비스,체육도장업,환여동,"경상북도 포항시 북구 삼호로 475, A-210호(환호동,환호종합아주상가)",36.0705853,129.3990562,2019-08-07
민헤어아트,054-247-2198,서비스,미용,환여동,경상북도 포항시 북구 삼호로 468번길 2-1(환호동),36.0696325,129.3994947,2019-08-07
유매 천연염색 연구소,054-252-0442,도소매,천연염색,환여동,경상북도 포항시 북구 삼호로 468번길 3(환호동),36.069877,129.3995152,2019-08-07
한가네 족발,054-232-7273,음식,한식,환여동,경상북도 포항시 북구 삼호로 468(환호동),36.0695757,129.399102,2019-08-07
블루블루,,서비스,미용업,환여동,"경상북도 포항시 북구 삼호로 393, 103호(환호동, 해맞이그린빌분산상가)",36.0685791,129.3907634,2019-08-07
김나영천연스킨,,소매,화장품,환여동,"경상북도 포항시 북구 삼호로 394, 201호(환호동)",36.0682131,129.3909773,2019-08-07
하카전자담배포항북구점,054-255-6779,도소매,전자,환여동,경상북도 포항시 북구 삼호로 458(환호동),36.0695128,129.3979953,2019-08-07
인터바스,054-249-1666,소매,"도기,타일",환여동,경상북도 포항시 북구 삼호로 454(환호동),36.0695025,129.39764,2019-08-07
그레이비(GRAVY),054-256-8897,음숙,서양식 음식,환여동,경상북도 포항시 북구 삼호로 460(환호동),36.0695426,129.3982306,2019-08-07
태산만두,,음숙,한식,환여동,경상북도 포항시 북구 삼호로 486(환호동),36.0713712,129.3994577,2019-08-07
혜성인쇄소,054-251-4879,제조,인쇄,환여동,경상북도 포항시 북구 삼호로 490(환호동),36.0716988,129.3991952,2019-08-07
영재서점문구,054-252-3590,도소매,"문구,서점",환여동,경상북도 포항시 북구 삼호로 480-1(환호동),36.0709599,129.3996776,2019-08-07
바다채,054-244-0880,음식점,한식,환여동,경상북도 포항시 북구 해안로 415(환호동),36.0707591,129.4029749,2019-08-07
하봉석대게.회(환호동점),054-252-1110,음식점,한식,환여동,경상북도 포항시 북구 삼호로 468번길 16-1(환호동),36.0697645,129.401046,2019-08-07
오아시스레스토랑,054-251-5743,음식점,양식,환여동,경상북도 포항시 북구 해안로 389(환호동),36.0693774,129.4007118,2019-08-07
해맞이 자동차정비,054-252-9999,서비스,정비,환여동,경상북도 포항시 북구 삼호로 434-8(환호동),36.0690007,129.3952231,2019-08-07
아로마피부,054-249-7707,서비스,피부체형관리,환여동,"경상북도 포항시 북구 삼호로 414-1, 가동 110호(환호동)",36.0686785,129.3933256,2019-08-07
밥맛이 좋은집,054-247-6626,음숙,음숙,환여동,"경상북도 포항시 북구 삼호로 414-1, 104호(환호동)",36.0686785,129.3933256,2019-08-07
기쁨한의원,054-232-7582,보건,한의원,환여동,"경상북도 포항시 북구 삼호로 413, 205호.213호(환호동,해맞이그린빌주상가)",36.0691827,129.393211,2019-08-07
못난이식당,054-242-3454,음숙,한식,환여동,경상북도 포항시 북구 삼호로 468번길 8(환호동),36.0696905,129.4000925,2019-08-07
평양소머리곰탕,054-247-3867,음식점,한식,환여동,경상북도 포항시 북구 삼호로 468-1(환호동),36.0695564,129.3992359,2019-08-07
경주낚시레포츠,054-252-3107,소매,낚시,환여동,경상북도 포항시 북구 삼호로 466(환호동),36.069574,129.3988247,2019-08-07
뚜레주르 포항환호점,,음식점,음식점,환여동,"경상북도 포항시 북구 삼호로 391, 109호 113호(환호동, 해맞이그린빌주상가동)",36.0699147,129.3914206,2019-08-07
태후사랑,,소매,화장품,환여동,경상북도 포항시 북구 삼호로 432(환호동),36.0691168,129.3951933,2019-08-07
일광방수.공업사건재철물,054-251-7275,소매,건축자재,환여동,경상북도 포항시 북구 삼호로 480(환호동),36.0708114,129.3996915,2019-08-07
산해정횟집,054-252-0777,음식업,한식,환여동,경상북도 포항시 북구 해안로 377(환호동),36.0684988,129.4000173,2019-08-07
바다원해,054-252-9200,음숙,한식,환여동,경상북도 포항시 북구 해안로 397(환호동),36.0700523,129.4014099,2019-08-07
환여종합건재철물,054-252-4981,도소매,"철물, 건재",환여동,경상북도 포항시 북구 삼호로 486-1(환호동),36.0714826,129.3992947,2019-08-07
밀면이야기,,음식점,일반음식,환여동,경상북도 포항시 북구 삼호로468번길 2(환호동),36.069598,129.399367,2019-08-07
크레마(Crema),054-248-0750,음숙,커피,환여동,경상북도 포항시 북구 삼호로 479(환호동),36.0707078,129.399205,2019-08-07
GS25포항환호점,054-255-3777,소매,편의점,환여동,경상북도 포항시 북구 삼호로 466(환호동),36.069574,129.3988247,2019-08-07
헤어스케치,054-251-6670,서비스,,환여동,"경상북도 포항시 북구 삼호로 396, 104호(환호동)",36.068225,129.3912813,2019-08-07
환호그린치과의원,054-231-9981,보건,치과,환여동,경상북도 포항시 북구 삼호로 391(환호동),36.0699147,129.3914206,2019-08-07
어시장회대게,054-244-6122,일반음식,한식,환여동,경상북도 포항시 북구 해안로 385-4(환호동),36.0691801,129.4004139,2019-08-07
환여횟집,054-242-8899,음숙,일반음식,환여동,경상북도 포항시 북구 해안로 379(환호동),36.0686717,129.400063,2019-08-07
풍기인삼 직판장,,소매,소매,환여동,경상북도 포항시 북구 삼호로 414-1(환호동),36.0686785,129.3933256,2019-08-07
미강,054-251-5100,음식,음식,환여동,경상북도 포항시 북구 해안로 381(환호동),36.0688287,129.4001455,2019-08-07
그린빌피아노교습소,,서비스,예능,환여동,"경상북도 포항시 북구 삼호로 413, 202호(환호동,해맞이그린빌주상가)",36.0691827,129.393211,2019-08-07
다나커피,,음식,휴게음식,환여동,경상북도 포항시 북구 삼호로 434-14(환호동),36.0687571,129.3953035,2019-08-07
점핑24FIT,,소매,건강식품,환여동,"경상북도 포항시 북구 삼호로 416, 2층(환호동)",36.068762,129.3935713,2019-08-07
하종곤의원,054-252-2328,보건업,의원,환여동,"경상북도 포항시 북구 삼호로 413, 216호(환호동,해맞이그린빌주상가)",36.0691827,129.393211,2019-08-07
평강한의원,054-241-9999,보건,한의원,환여동,경상북도 포항시 북구 삼호로 418(환호동),36.0687942,129.3936961,2019-08-07
여남동해회식당,054-251-3311,음숙,한식,환여동,경상북도 포항시 북구 여남동 509-1,,,2019-08-07
송골수족관,054-251-4072,음업,한식,환여동,경상북도 포항시 북구 해안로 521(여남동),36.0724651,129.4136005,2019-08-07
주식회사 창포푸드,054-246-3392,음식점,음식점,환여동,경상북도 포항시 북구 삼호로 498(환호동),36.0724163,129.3987948,2019-08-07
태화활어식당,054-251-7678,음숙,한식,환여동,"경상북도 포항시 북구 여남포길 57,57-1여남동)",36.073603,129.4114479,2019-08-07
면마루,054-232-9494,음숙,한식,환여동,경상북도 포항시 북구 해안로 515-3(여남동),36.0727805,129.4131001,2019-08-07
영일만횟집,,음식점,일반음식점,환여동,경상북도 포항시 북구 해안로 503(여남동),36.0732345,129.4117446,2019-08-07
여남삼거리회식당,054-252-9844,음숙,한식,환여동,경상북도 포항시 북구 여남포길 59(여남동),36.0734226,129.4114991,2019-08-07
여남횟집,054-252-0059,음식,,환여동,경상북도 포항시 북구 해안로 499-1(여남동),36.0735187,129.4116682,2019-08-07
바다이야기 회식당,054-252-2601,음숙,음숙,환여동,경상북도 포항시 북구 해안로 515(여남동),36.0726443,129.4131391,2019-08-07
신항구 회식당,,음식점,음식점,환여동,경상북도 포항시 북구 해안로 513(여남동),36.0726922,129.4129116,2019-08-07
정선가든식당,054-252-2634,음숙,한식,환여동,경상북도 포항시 북구 새천년대로 1536(여남동),36.0789757,129.414885,2019-08-07
그린빌참기름,,제조업,참기름,환여동,경상북도 포항시 북구 환호공원길 15(환호동),36.0681294,129.3911482,2019-08-07
정명식당,,음식점,한식,환여동,경상북도 포항시 북구 환호공원길 15(환호동),36.0681294,129.3911482,2019-08-07
철가방,,음식점,중식,환여동,"경상북도 포항시 북구 환호공원길 15, B동 1층 117호(환호동)",36.0681294,129.3911482,2019-08-07
승희상회,,소매,슈퍼마켓,환여동,경상북도 포항시 북구 환호공원길 15(환호동),36.0681294,129.3911482,2019-08-07
정국수,,음식,분식,환여동,"경상북도 포항시 북구 양학천로 34, 1층(죽도동)",36.0224632,129.3553975,2019-08-07
해맞이애견샵,,소매,애견용품,환여동,경상북도 포항시 북구 환호공원길 17-4(환호동),36.0681078,129.3916039,2019-08-07
대학관,,음식점,중식,환여동,경상북도 포항시 북구 환호공원길 87(환호동),36.0693604,129.3988437,2019-08-07
만도세탁소,054-252-5503,서비스,세탁,환여동,경상북도 포항시 북구 삼호로 499-1(환호동),36.0724185,129.3981575,2019-08-07
대성쎌틱북포항북부대리점,,소매,자재 및 보일러판매,환여동,경상북도 포항시 북구 삼호로 505-2(환호동),36.0729921,129.3979023,2019-08-07
